,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
1175,John H. Pitman High,Turlock Unified,Stanislaus,511.0,221.0,170.0,76.92,100.0,45.25,97.0,43.89,52.0,23.0,22.0,22.0,22.0,32.0,61.54,43.24853228962818,10.176125244618394
1177,Ceres High,Ceres Unified,Stanislaus,381.0,141.0,73.0,51.77,38.0,26.95,34.0,24.11,23.0,19.0,17.0,18.0,19.0,4.0,17.39,37.00787401574803,6.036745406824147
1180,Thomas Downey High,Modesto City High,Stanislaus,479.0,142.0,97.0,68.31,52.0,36.62,47.0,33.1,69.0,21.0,20.0,21.0,21.0,31.0,44.93,29.64509394572025,14.40501043841336
1182,Modesto High,Modesto City High,Stanislaus,585.0,235.0,151.0,64.26,107.0,45.53,99.0,42.13,163.0,20.0,19.0,20.0,19.0,61.0,37.42,40.17094017094017,27.863247863247864
1183,Oakdale High,Oakdale Joint Unified,Stanislaus,350.0,90.0,70.0,77.78,67.0,74.44,59.0,65.56,37.0,25.0,24.0,24.0,23.0,26.0,70.27,25.71428571428571,10.571428571428571
1184,Orestimba High,Newman-Crows Landing Unified,Stanislaus,216.0,66.0,44.0,66.67,23.0,34.85,21.0,31.82,18.0,23.0,22.0,23.0,22.0,10.0,55.56,30.555555555555557,8.333333333333332
1185,Patterson High,Patterson Joint Unified,Stanislaus,361.0,216.0,116.0,53.7,57.0,26.39,53.0,24.54,15.0,24.0,22.0,21.0,21.0,7.0,46.67,59.83379501385041,4.1551246537396125
1187,Turlock High,Turlock Unified,Stanislaus,543.0,171.0,129.0,75.44,87.0,50.88,81.0,47.37,53.0,24.0,22.0,22.0,22.0,36.0,67.92,31.491712707182316,9.760589318600369
1189,Live Oak High,Live Oak Unified,Sutter,129.0,36.0,24.0,66.67,12.0,33.33,11.0,30.56,33.0,19.0,20.0,20.0,20.0,12.0,36.36,27.906976744186046,25.581395348837212
1190,Sutter High,Sutter Union High,Sutter,171.0,49.0,44.0,89.8,32.0,65.31,32.0,65.31,22.0,25.0,22.0,24.0,23.0,17.0,77.27,28.654970760233915,12.865497076023392
1191,Yuba City High,Yuba City Unified,Sutter,394.0,77.0,66.0,85.71,40.0,51.95,40.0,51.95,56.0,23.0,21.0,22.0,22.0,35.0,62.5,19.543147208121827,14.213197969543149
1192,Corning High,Corning Union High,Tehama,206.0,30.0,24.0,80.0,18.0,60.0,18.0,60.0,113.0,18.0,18.0,18.0,17.0,33.0,29.2,14.563106796116504,54.85436893203883
1193,Red Bluff High,Red Bluff Joint Union High,Tehama,320.0,46.0,35.0,76.09,30.0,65.22,29.0,63.04,151.0,20.0,19.0,20.0,20.0,63.0,41.72,14.374999999999998,47.1875
1194,Golden West High,Visalia Unified,Tulare,383.0,92.0,67.0,72.83,33.0,35.87,30.0,32.61,38.0,21.0,19.0,20.0,21.0,17.0,44.74,24.02088772845953,9.921671018276761
1195,Farmersville High,Farmersville Unified,Tulare,170.0,60.0,21.0,35.0,6.0,10.0,6.0,10.0,46.0,18.0,16.0,17.0,17.0,8.0,17.39,35.294117647058826,27.058823529411764
1196,Granite Hills High,Porterville Unified,Tulare,302.0,67.0,35.0,52.24,12.0,17.91,11.0,16.42,41.0,17.0,16.0,17.0,18.0,5.0,12.2,22.185430463576157,13.57615894039735
1197,El Diamante High,Visalia Unified,Tulare,461.0,100.0,82.0,82.0,55.0,55.0,53.0,53.0,49.0,20.0,20.0,21.0,21.0,22.0,44.9,21.69197396963124,10.629067245119305
1198,Dinuba High,Dinuba Unified,Tulare,423.0,115.0,67.0,58.26,37.0,32.17,35.0,30.43,96.0,18.0,16.0,17.0,19.0,18.0,18.75,27.18676122931442,22.69503546099291
1199,Exeter Union High,Exeter Unified,Tulare,187.0,50.0,34.0,68.0,17.0,34.0,15.0,30.0,18.0,25.0,23.0,20.0,23.0,13.0,72.22,26.737967914438503,9.62566844919786
1201,Monache High,Porterville Unified,Tulare,464.0,112.0,69.0,61.61,44.0,39.29,41.0,36.61,105.0,19.0,17.0,18.0,19.0,30.0,28.57,24.137931034482758,22.629310344827587
1202,Mt. Whitney High,Visalia Unified,Tulare,397.0,101.0,68.0,67.33,43.0,42.57,41.0,40.59,20.0,22.0,20.0,21.0,21.0,11.0,55.0,25.440806045340054,5.037783375314862
1203,Orosi High,Cutler-Orosi Joint Unified,Tulare,237.0,122.0,41.0,33.61,18.0,14.75,17.0,13.93,85.0,17.0,15.0,17.0,17.0,10.0,11.76,51.47679324894515,35.86497890295359
1204,Porterville High,Porterville Unified,Tulare,435.0,115.0,72.0,62.61,34.0,29.57,29.0,25.22,88.0,19.0,18.0,19.0,19.0,30.0,34.09,26.436781609195403,20.229885057471265
1205,Redwood High,Visalia Unified,Tulare,494.0,142.0,116.0,81.69,79.0,55.63,77.0,54.23,74.0,23.0,23.0,22.0,23.0,50.0,67.57,28.74493927125506,14.979757085020243
1206,Tulare Union High,Tulare Joint Union High,Tulare,382.0,130.0,77.0,59.23,67.0,51.54,58.0,44.62,66.0,21.0,19.0,21.0,20.0,28.0,42.42,34.031413612565444,17.277486910994764
1207,Tulare Western High,Tulare Joint Union High,Tulare,417.0,133.0,86.0,64.66,45.0,33.83,43.0,32.33,93.0,20.0,18.0,18.0,19.0,29.0,31.18,31.894484412470025,22.302158273381295
1208,Woodlake High,Woodlake Unified,Tulare,151.0,22.0,15.0,68.18,6.0,27.27,6.0,27.27,30.0,18.0,18.0,19.0,18.0,8.0,26.67,14.56953642384106,19.867549668874172
1212,Westlake High,Conejo Valley Unified,Ventura,547.0,209.0,197.0,94.26,168.0,80.38,167.0,79.9,146.0,27.0,28.0,26.0,26.0,126.0,86.3,38.20840950639854,26.691042047531994
